Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-293.503	-376.6653	83.16232	0.0139464	0.0962272	0.00899833	0.0326006	0.00258977	0.00361136	0.0421722	0.0464602	0.0169091	0.00157677	0.0388352	0.00446156	0.00615577	0.0185435	0.00897939	0.0308199	0.0034051	0.0218908	0.0469079	0.00524036	0.00867818	0.0164497	0.0137648	0.000480865	0.00431924	0.00197451	0.00826268	0.0199739	0.000636965	0.00487766	0.00107271	0.00583193	0.00403589	0.00668033	0.00609463	0.0428539	0.0377685	0.00210075	0.0493738	0.0138563	0.0204403	0.00179812	0.0359053	0.0169924	0.00879049	0.00473953	0.0103005	0.00569055	0.0196805	0.00796567	0.0325699	0.0689171	0.000398837	0.0158447	0.00667284	0.00805347	0.0236057	1.050884	0.949116	0.0609901	0.255604	0.653389	1.53048	3.9123	16.3961	2.022455	0.9031596	0.0141189	0.0974172	0.00910961	0.0330038	0.0026218	0.00365602	0.0426938	0.0470347	0.0171182	0.00159626	0.0393155	0.00451674	0.00623189	0.0187728	0.00909044	0.031201	0.00344721	0.0221615	0.047488	0.00530517	0.0087855	0.0166531	0.013935	0.000486811	0.00437265	0.00199893	0.00836486	0.0202209	0.000644843	0.00493798	0.00108597	0.00590406	0.0040858	0.00676294	0.00617	0.0433839	0.0382356	0.00212673	0.0499843	0.0140276	0.0206931	0.00182035	0.0363493	0.0172025	0.0088992	0.00479814	0.0104279	0.00576092	0.0199239	0.00806418	0.0329727	0.0697694	0.000403769	0.0160407	0.00675536	0.00815307	0.0238976	0.474558	0.525442	0.9877845
36	-299.0448	-382.5607	83.51598	0.00348702	0.0584483	0.0331345	0.0455537	0.0444748	0.0527265	0.0292773	0.0327934	0.0307604	0.00271325	0.0273114	0.0358418	0.0206499	0.0209607	0.00860116	0.0332518	0.0404619	0.0531711	0.0169067	0.00900527	0.00367506	0.00563596	0.00405514	0.000352049	0.00697392	0.019045	0.011491	0.0146496	0.00101753	0.0191525	0.0175905	0.00996334	0.00853202	0.00911472	0.00863985	0.0480618	0.0137215	0.000518349	0.0664829	0.0200591	0.0169605	0.000688441	0.0137749	0.0374383	0.0404958	0.029634	0.00593182	0.0424979	0.00216243	0.0343453	0.0750827	0.0992561	0.0211059	0.00121352	0.0286352	0.0176955	0.0182139	1.170395	0.8296051	0.133515	0.374557	0.736115	1.35848	2.66982	7.48982	1.455931	0.708825	0.00253898	0.0425575	0.024126	0.0331687	0.0323831	0.0383914	0.0213175	0.0238776	0.0223973	0.00197558	0.019886	0.0260972	0.0150357	0.0152619	0.0062627	0.0242114	0.0294612	0.0387151	0.0123102	0.00655694	0.00267589	0.00410367	0.00295264	0.000256335	0.00507787	0.0138671	0.00836686	0.0106667	0.000740888	0.0139453	0.0128081	0.00725454	0.00621235	0.00663663	0.00629087	0.0349949	0.00999091	0.000377422	0.0484077	0.0146055	0.0123493	0.00050127	0.0100298	0.0272597	0.0294859	0.0215772	0.00431909	0.0309437	0.00157452	0.0250076	0.0546694	0.0722706	0.0153677	0.000883588	0.02085	0.0128845	0.0132619	0.414803	0.585197	1.373395
72	-300.2365	-384.1684	83.93187	0.00385757	0.0320565	0.0602909	0.0090211	0.000391312	0.0207439	0.00222533	0.025454	0.00577126	0.0088312	0.023166	0.00322947	0.0173698	0.0197266	0.0238114	0.0110101	0.00801964	0.00527052	0.0161294	0.00203103	0.0137211	0.0144978	0.0137911	0.000360871	0.00737044	0.00913131	0.00324742	0.0153002	0.000313501	0.00819233	0.0188354	0.0115125	0.0949003	0.00628999	0.0159229	0.0382655	0.00792856	0.00706146	0.0101096	0.00875644	0.00215509	0.0101985	0.0116536	0.00117338	0.0152732	0.0149415	0.00530908	0.0317321	0.0191529	0.0376202	0.0166749	0.0413701	0.00726153	0.00468981	0.00453796	0.00264917	0.0398089	1.326632	0.6733677	0.0741211	0.281104	0.673065	1.48574	3.5574	13.4914	1.881465	0.5075767	0.00443338	0.0368415	0.0692904	0.0103677	0.000449722	0.0238403	0.00255751	0.0292535	0.00663273	0.0101494	0.026624	0.00371154	0.0199626	0.0226712	0.0273657	0.0126536	0.00921673	0.00605725	0.0185371	0.0023342	0.0157692	0.0166619	0.0158497	0.000414738	0.00847062	0.0104943	0.00373216	0.017584	0.000360297	0.0094152	0.0216469	0.013231	0.109066	0.00722889	0.0182997	0.0439774	0.00911205	0.00811552	0.0116187	0.0100635	0.00247678	0.0117209	0.0133931	0.00134853	0.017553	0.0171718	0.00610156	0.0364687	0.0220119	0.0432357	0.019164	0.0475454	0.00834545	0.00538986	0.00521534	0.00304461	0.0457512	0.336684	0.663316	0.870118
108	-289.688	-373.7614	84.07336	0.00152738	0.0173033	0.0089379	0.0314364	0.00252655	0.00325841	0.00354376	0.0384245	0.00348712	0.00322265	0.0265923	0.00474481	0.0100673	0.0134231	2.907e-05	0.0176941	0.00438804	0.00738598	0.0139957	0.0038048	0.00152843	0.00622233	0.00534512	0.00565377	6.96456e-05	0.00485656	0.000828249	0.0111268	0.00374232	0.0143482	0.0216877	0.00113415	0.00166598	0.00584624	0.00772698	0.00322795	0.00969505	0.00505822	0.0200071	0.00534644	0.0101381	0.0080501	0.00389621	0.00485905	0.00215616	0.0156163	0.00491018	0.0599237	8.39075e-05	0.0162996	0.00636102	0.0357072	0.0110846	0.00720721	0.00253725	0.0102128	0.00932555	1.256175	0.7438247	0.084262	0.299246	0.686326	1.45703	3.34174	11.8677	1.788745	0.5921344	0.00273098	0.0309385	0.0159811	0.0562088	0.0045175	0.00582608	0.00633629	0.0687035	0.00623502	0.00576214	0.0475475	0.00848379	0.0180005	0.0240008	5.19776e-05	0.0316373	0.00784589	0.0132062	0.0250245	0.00680304	0.00273286	0.0111256	0.00955715	0.010109	0.000124527	0.0086836	0.00148092	0.0198949	0.00669133	0.0256548	0.0387779	0.00202787	0.00297879	0.0104532	0.0138159	0.00577162	0.0173349	0.00904418	0.035773	0.00955951	0.0181272	0.0143937	0.00696648	0.00868805	0.00385525	0.0279223	0.00877947	0.107144	0.000150028	0.0291438	0.0113736	0.0638451	0.0198194	0.0128866	0.00453664	0.0182606	0.0166742	0.371912	0.628088	0.5592794
144	-296.1047	-380.1325	84.02777	0.00793453	0.122501	0.0122902	0.0932238	0.00507032	0.0137531	0.0225283	0.0488457	0.0358465	0.0161316	0.0237974	0.00303656	0.011098	0.0344837	0.00236323	0.0116723	0.03408	0.020797	0.0653273	0.0133921	0.00111268	0.00723298	0.0153368	0.00271534	0.00686011	0.00353327	8.16136e-05	0.031194	0.0116441	0.0320441	0.0429472	0.0117619	0.0031856	0.0166099	0.0313274	0.00407101	0.0103976	0.0175478	0.0757504	0.000933665	0.0294649	0.0119574	0.0340691	0.0120576	0.00279161	0.0424567	0.0138433	0.086256	0.00210617	0.0151353	0.00802593	0.0174525	0.0245019	0.0142966	0.0124338	0.00832297	0.0532419	1.210705	0.7892949	0.219729	0.47757	0.794082	1.25932	2.09393	4.55105	1.095709	0.65193	0.00604363	0.0933075	0.0093613	0.0710074	0.003862	0.0104756	0.0171595	0.0372051	0.0273038	0.0122873	0.0181262	0.00231291	0.00845321	0.0262658	0.00180004	0.00889063	0.0259583	0.0158408	0.049759	0.0102006	0.000847511	0.00550927	0.0116818	0.00206824	0.00522526	0.00269125	6.21641e-05	0.0237601	0.00886914	0.0244076	0.0327124	0.00895886	0.00242643	0.0126515	0.0238617	0.00310084	0.00791975	0.013366	0.0576982	0.000711161	0.022443	0.00910782	0.02595	0.00918416	0.00212633	0.0323387	0.0105443	0.0657002	0.00160424	0.0115284	0.00611325	0.0132934	0.0186628	0.0108895	0.0094707	0.0063395	0.0405537	0.394647	0.605353	1.312874
180	-288.6705	-372.4294	83.75891	0.00947026	0.102048	0.0315453	0.0490332	0.0368089	0.00303024	0.01758	0.0537956	0.0307407	0.01676	0.0310223	0.0168473	0.0261185	0.0427218	0.00945306	0.0430104	0.0208075	0.000785378	0.0563703	0.0106705	0.000761771	0.0209356	0.0144922	0.00374694	0.00769129	0.000836535	0.000720676	0.0351131	0.00257563	0.00257714	0.123115	0.0603376	0.00272953	0.00133686	0.00198662	0.00632659	0.0179187	0.00758805	0.0834175	0.0075857	0.0224558	0.044745	0.0404545	0.0134265	0.0115268	0.00677603	0.016147	0.0965012	0.0105363	0.0167588	0.00627854	0.0673428	0.0112262	0.023318	0.0169381	0.00508258	0.0580751	1.19888	0.8011196	0.209359	0.466441	0.788262	1.26861	2.14389	4.77649	1.130668	0.6682231	0.00640747	0.0690448	0.0213432	0.0331753	0.0249045	0.00205023	0.0118945	0.0363975	0.0207988	0.0113396	0.0209894	0.0113987	0.0176715	0.0289051	0.00639584	0.0291004	0.0140781	0.000531378	0.0381395	0.00721955	0.000515406	0.0141648	0.00980527	0.00253514	0.00520384	0.000565991	0.000487601	0.0237571	0.00174264	0.00174366	0.0832985	0.0408237	0.00184677	0.000904503	0.00134412	0.0042805	0.0121236	0.00513399	0.0564393	0.0051324	0.0151934	0.030274	0.0273711	0.00908421	0.00779893	0.00458459	0.0109249	0.0652916	0.00712874	0.0113388	0.00424799	0.0455634	0.00759554	0.0157767	0.0114601	0.00343881	0.039293	0.40056	0.59944	1.478002
216	-292.6968	-376.0323	83.33546	0.000119219	0.0441475	0.00580996	0.0152643	0.00517197	0.00220098	0.00120751	0.0127438	0.0027436	0.00212019	0.0146064	0.00383557	0.00470693	0.0108583	0.00209895	0.00876097	0.0214163	0.00814368	0.0113598	0.000373722	0.00511388	0.0151406	0.000739256	0.00172128	0.00253842	0.00167698	0.00831191	0.00399323	0.00450314	0.00166078	0.00548163	0.01274	0.0467076	0.00123276	0.000851948	3.38274e-05	0.0262657	0.00219804	0.00244417	0.000552975	0.0119136	0.00671754	0.0181143	0.0031155	0.00191094	0.0137667	0.00517203	0.00232469	0.0151089	0.0231503	0.00205277	0.0282166	0.00210307	0.00634575	0.00160623	0.0131478	0.00217059	1.044704	0.9552958	0.0524897	0.237562	0.638637	1.56584	4.20943	19.0514	2.130984	0.9144176	0.000249134	0.0922554	0.0121411	0.0318979	0.0108079	0.00459942	0.00252334	0.0266308	0.00573334	0.00443059	0.0305232	0.00801524	0.00983613	0.0226908	0.00438619	0.0183079	0.0447538	0.017018	0.0237387	0.000780971	0.0106865	0.0316395	0.00154483	0.00359697	0.00530457	0.00350441	0.0173695	0.0083447	0.00941026	0.00347055	0.011455	0.0266228	0.0976055	0.00257611	0.00178033	7.06896e-05	0.0548878	0.00459328	0.0051076	0.00115556	0.0248959	0.0140377	0.0378537	0.0065105	0.00399331	0.0287684	0.010808	0.00485793	0.0315731	0.0483775	0.00428969	0.0589646	0.0043948	0.0132608	0.00335656	0.027475	0.0045359	0.477648	0.522352	0.4785349
252	-297.8687	-380.6972	82.82856	0.00207737	0.0451611	0.0855189	0.0835695	0.0273403	0.0136823	0.00164238	0.0760272	0.010815	0.0142838	0.0439911	0.00512477	0.0609389	0.00234904	0.0185083	0.00571376	0.0160242	0.00444938	0.0423513	0.0181295	0.00996457	0.0199327	0.0287047	0.0134489	0.00526762	0.0268108	0.00626094	0.0141183	0.0239121	0.00680571	0.0515004	0.0205031	0.0881048	0.0388461	0.00814215	0.000522216	0.0342414	0.0271478	0.0269248	0.00336754	0.0159946	0.0276574	0.0676525	0.0144091	0.0205332	0.0296671	0.0131019	0.0311543	0.0678771	0.138026	0.0222245	0.0555841	0.0030816	0.00286382	0.0377822	0.0101678	0.0204101	1.127641	0.872359	0.0891933	0.307662	0.692291	1.44448	3.25032	11.2116	1.747621	0.7736142	0.00128996	0.0280432	0.0531037	0.0518932	0.0169772	0.00849612	0.00101985	0.0472098	0.00671567	0.00886965	0.0273167	0.00318227	0.0378406	0.00145866	0.0114929	0.00354801	0.00995035	0.00276289	0.0262985	0.0112577	0.00618759	0.0123774	0.0178244	0.00835121	0.00327097	0.0166484	0.00388779	0.00876691	0.0148484	0.00422607	0.0319796	0.0127316	0.0547095	0.0241218	0.00505594	0.000324275	0.0212625	0.0168577	0.0167192	0.0020911	0.009932	0.0171741	0.0420095	0.00894746	0.0127503	0.018422	0.00813574	0.0193456	0.0421489	0.0857084	0.0138005	0.0345154	0.00191355	0.00177831	0.0234612	0.00631378	0.0126739	0.43618	0.56382	1.610412
288	-308.8685	-391.8525	82.98402	0.000164015	0.0550648	0.0368955	0.0690544	0.00668628	0.06544	0.0207675	0.0868784	0.0407962	2.36381e-05	0.0622112	0.0146104	0.0672473	0.0191557	0.0277506	0.0179775	0.0298339	0.0163221	0.0215541	0.0345108	0.0192174	0.0313665	0.0552039	0.00899572	0.017229	0.014191	0.00982819	0.0572846	0.031721	0.0022494	0.0433678	0.025501	0.0272413	0.0387069	0.0166428	0.0163161	0.00638293	0.00641628	0.0155615	0.0189832	0.0259143	0.0147826	0.0144273	0.00583273	0.0397301	0.0477907	0.020228	0.00775505	0.0111032	0.104267	0.022352	0.0903267	0.0669064	0.0156454	0.0160292	0.0446178	0.0544867	1.042489	0.9575105	0.18477	0.438869	0.773419	1.29296	2.27859	5.41213	1.221005	0.9184846	9.33203e-05	0.0313305	0.0209926	0.0392902	0.00380432	0.0372337	0.0118162	0.0494317	0.023212	1.34495e-05	0.0353966	0.00831294	0.0382621	0.0108991	0.0157894	0.0102288	0.0169747	0.00928688	0.0122638	0.0196358	0.0109342	0.0178468	0.0314097	0.00511834	0.00980287	0.00807432	0.005592	0.0325935	0.0180485	0.00127985	0.0246752	0.0145094	0.0154996	0.0220233	0.00946934	0.00928344	0.00363173	0.0036507	0.00885408	0.010801	0.0147446	0.00841091	0.00820879	0.00331868	0.0226055	0.0271917	0.0115093	0.00441243	0.00631744	0.0593253	0.0127177	0.0513937	0.0380681	0.00890182	0.00912021	0.0253864	0.0310016	0.478755	0.521245	1.757546
324	-295.4776	-380.2011	84.7235	0.00914697	0.0418416	0.0265143	0.0328955	0.0065867	0.0035879	0.00351912	0.0507985	0.00582424	0.00111406	0.0373254	0.00738827	0.0316659	0.00869336	0.0309801	0.0138884	0.0115085	0.002085	0.051785	0.00664132	0.00197369	0.010083	0.023672	0.00244695	0.00338571	0.00541141	0.00411454	0.00613681	0.00952277	0.0019518	0.0183952	0.00434499	0.0194489	0.0123831	0.0101263	0.000645386	0.0225184	0.00335092	0.0603288	0.00435512	0.0161164	0.00567671	0.0263065	0.0145229	0.00736321	0.0114219	0.0117522	0.0985759	0.00159514	0.0223966	0.00183915	0.0813955	0.00209336	0.00212303	0.00469337	0.00647606	0.00887885	1.44451	0.5554904	0.176036	0.428625	0.767741	1.30252	2.33304	5.68066	1.25602	0.384553	0.00981843	0.0449131	0.0284607	0.0353103	0.00707022	0.00385128	0.00377745	0.0545275	0.00625179	0.00119584	0.0400654	0.00793062	0.0339905	0.00933152	0.0332543	0.0149079	0.0123534	0.00223805	0.0555864	0.00712884	0.00211857	0.0108231	0.0254097	0.00262657	0.00363424	0.00580865	0.00441657	0.00658729	0.0102218	0.00209508	0.0197455	0.00466394	0.0208766	0.0132922	0.0108697	0.000692762	0.0241714	0.0035969	0.0647574	0.00467482	0.0172994	0.00609342	0.0282375	0.015589	0.00790373	0.0122604	0.0126149	0.105812	0.00171224	0.0240407	0.00197416	0.0873705	0.00224703	0.00227888	0.0050379	0.00695145	0.00953062	0.277745	0.722255	0.9316129
